Country,Bronze,Silver,Gold,TeamSize,M2012,F2012,GDP2011,Population (in thousands) total,Population in urban areas (%),Population living below the poverty line (% living on &lt; US$1 per day),Population median age (years),Population proportion over 60 (%),Population proportion under 15 (%),Population above 15 and under 60(in thousands),Life expectancy at birth (years) both sexes,Life expectancy at birth (years) female,Life expectancy at birth (years) male,Literacy_rate_youth_female,Literacy_rate_youth_male,Literacy_rate_youth_total
Papua New Guinea,0,0,0,8,4,4,"12,937,183,216.00",6202,13,,20,4,40,3473,62,64,60,64.06,69.13,66.68
Paraguay,0,0,0,8,4,4,"23,877,089,240.00",6016,59,13.6,22,7,35,3489,75,78,72,96.07,95.73,95.9
Peru,0,0,0,16,9,7,"176,662,000,000.00",27589,73,10.5,25,8,31,16829,73,75,71,96.29,97.92,97.12
Philippines,0,0,0,11,7,4,"224,754,000,000.00",86264,63,14.8,22,6,36,50033,68,71,64,96.58,93.58,95.06
Poland,6,2,2,217,130,87,"514,496,000,000.00",38140,62,2,37,17,16,25554,75,80,71,,,
Portugal,0,1,0,80,46,34,"237,522,000,000.00",10579,58,,39,22,16,6559,79,82,75,99.62,99.56,99.59
Puerto Rico,1,1,0,25,19,6,"99,202,000,000.00",,,,,,,0,,,,64.74,64.84,64.79
Qatar,2,0,0,12,8,4,"172,982,000,000.00",821,96,,31,3,21,624,77,77,77,97.54,94.89,95.92
Romania,2,5,2,103,54,49,"179,794,000,000.00",21532,54,2,37,19,15,14211,73,76,69,97.78,97.74,97.76
Russia,32,26,24,435,208,227,"1,857,770,000,000.00",143221,73,2,37,17,15,97390,66,73,60,99.77,99.68,99.72
Rwanda,0,0,0,7,5,2,"6,377,408,665.00",9464,20,60.3,18,4,43,5016,52,53,51,76.87,78.53,77.63
Saint Kitts and Nevis,0,0,0,7,6,1,"708,955,238.40",50,33,,,11,28,31,71,73,70,,,
Saint Lucia,0,0,0,4,1,3,"1,232,180,089.00",163,28,,26,10,27,103,75,78,72,,,
Saint Vincent and the Grenadines,0,0,0,3,2,1,"687,993,692.70",120,46,,25,9,29,74,70,74,66,,,
Samoa,0,0,0,8,5,3,"649,414,531.10",185,23,,20,7,40,98,68,70,66,74.54,74.48,74.51
